product_id,name,category,base_price,unit_cost,seasonality,related_products,init_stock_share
P0000,Essential Cotton Crew Tee,Women’s Apparel,24.0,8.0,all_season,Classic Crew Neck Tee:0.95;Everyday Stretch Tee:0.9;Soft Touch Long Sleeve Tee:0.72,1.0
P0001,Ribbed Knit Tank,Women’s Apparel,28.0,9.0,spring/summer,Seamless Camisole:0.9;Lace Trim Camisole:0.68;Essential Cotton Crew Tee:0.42,1.0
P0002,Tie-Front Poplin Blouse,Women’s Apparel,42.0,15.0,spring/summer,Slim Fit Oxford Shirt:0.63;Paper Touch Shirt:0.6;Ruffle Shoulder Blouse:0.58,1.0
P0003,Fluid Midi Wrap Dress,Women’s Apparel,68.0,26.0,spring/summer,Smocked Midi Dress:0.76;Fitted Ponte Dress:0.55;Belted Shirt Dress:0.48,1.0
P0004,Slim Straight Ankle Jean,Women’s Apparel,59.0,23.0,all_season,Relaxed Denim Jean:0.66;Five-Pocket Stretch Jean:0.74;Wide-Leg Crop Jean:0.51,1.0
P0005,High-Waist Pleated Trousers,Women’s Apparel,64.0,25.0,fall/winter,Slim Fit Trousers:0.82;Relaxed Linen Blazer:0.7;Double-Breasted Blazer:0.64,1.0
P0006,Soft Touch Cardigan,Women’s Apparel,54.0,20.0,fall/winter,Cable Knit Pullover:0.58;Merino Crew Sweater:0.52;Belted Cardigan Coat:0.63,1.0
P0007,Oversized Trench Coat,Women’s Apparel,110.0,48.0,spring,Warm Handle Wool Coat:0.58;Tailored Wool Coat:0.55;Packable Rain Shell:0.46,1.0
P0008,Pointelle Sweater Vest,Women’s Apparel,38.0,14.0,spring,Longline Knit Vest:0.83;Merino Crew Sweater:0.5;Cable Knit Pullover:0.48,1.0
P0009,Fitted Mock Neck Top,Women’s Apparel,32.0,11.0,fall/winter,Ribbed Mock Neck:0.92;Mesh Long Sleeve Top:0.58;Silk-Blend Shell Top:0.46,1.0
P0010,Linen Blend Utility Shorts,Women’s Apparel,36.0,13.0,spring/summer,Paperbag Waist Shorts:0.77;Pleated Tailored Shorts:0.56;Relaxed Linen Shirt:0.47,1.0
P0011,Satin Slip Skirt,Women’s Apparel,46.0,17.0,all_season,Woven Wrap Midi Skirt:0.67;Tiered Maxi Skirt:0.5;Silk-Blend Shell Top:0.54,1.0
P0012,Relaxed Wide-Leg Jumpsuit,Women’s Apparel,72.0,29.0,spring/summer,Printed Palazzo Pants:0.46;Relaxed Linen Blazer:0.44;Minimalist Dress Sneaker:0.33,1.0
P0013,Cropped Denim Jacket,Women’s Apparel,62.0,24.0,spring,Stretch Denim Jacket:0.9;Relaxed Denim Jean:0.64;Wide-Leg Crop Jean:0.58,1.0
P0014,Ballet Sleeve Knit Top,Women’s Apparel,34.0,12.0,all_season,Puff Sleeve Knit Top:0.84;Breezy Off-Shoulder Top:0.51;Knit Wrap Top:0.49,1.0
P0015,Stretch Ponte Leggings,Women’s Apparel,39.0,14.0,all_season,Moisture-Wick Legging:0.86;Slim Knit Jogger:0.55;Relaxed Lounge Jogger:0.43,1.0
P0016,Tiered Maxi Skirt,Women’s Apparel,58.0,22.0,spring/summer,Smocked Midi Dress:0.57;Woven Wrap Midi Skirt:0.69;Embroidered Peasant Blouse:0.54,1.0
P0017,Double-Breasted Blazer,Women’s Apparel,98.0,41.0,fall/winter,Slim Fit Blazer:0.91;Relaxed Linen Blazer:0.66;High-Waist Pleated Trousers:0.62,1.0
P0018,Knit Polo Top,Women’s Apparel,35.0,12.0,spring/summer,Textured Knit Polo:0.86;Performance Polo:0.64;Stretch Chino Pants:0.45,1.0
P0019,Embroidered Peasant Blouse,Women’s Apparel,44.0,16.0,spring/summer,Ruffle Shoulder Blouse:0.7;Breezy Off-Shoulder Top:0.58;Tiered Maxi Skirt:0.5,1.0
P0020,Belted Shirt Dress,Women’s Apparel,74.0,30.0,spring/summer,Textured Midi Shirt Dress:0.88;Smocked Midi Dress:0.57;Oversized Trench Coat:0.41,1.0
P0021,Faux Leather Mini Skirt,Women’s Apparel,48.0,18.0,fall/winter,Satin Slip Skirt:0.56;Mesh Long Sleeve Top:0.46;Draped Evening Top:0.52,1.0
P0022,Textured Boucle Jacket,Women’s Apparel,89.0,37.0,fall/winter,Double-Breasted Blazer:0.55;Slim Fit Blazer:0.5;Warm Handle Wool Coat:0.47,1.0
P0023,Relaxed Hoodie Dress,Women’s Apparel,66.0,25.0,all_season,Essential Hoodie:0.83;Modern Crew Sweatshirt:0.56;Stretch Knit Mule:0.42,1.0
P0024,Seamless Camisole,Women’s Apparel,22.0,7.0,spring/summer,Lace Trim Camisole:0.89;Ribbed Knit Tank:0.72;Soft Touch Long Sleeve Tee:0.44,1.0
P0025,Paperbag Waist Shorts,Women’s Apparel,34.0,12.0,spring/summer,Pleated Tailored Shorts:0.72;Linen Blend Utility Shorts:0.68;Relaxed Linen Shirt:0.41,1.0
P0026,Merino Turtleneck Sweater,Women’s Apparel,79.0,31.0,fall/winter,Ribbed Mock Neck:0.8;Merino Crew Sweater:0.73;Wool Blend Scarf:0.52,1.0
P0027,Utility Cargo Pants,Women’s Apparel,62.0,24.0,all_season,Washed Cargo Pants:0.92;Tapered Utility Pant:0.68;Canvas Field Jacket:0.48,1.0
P0028,Puff Sleeve Knit Top,Women’s Apparel,36.0,13.0,spring/summer,Ballet Sleeve Knit Top:0.84;Ruffle Shoulder Blouse:0.55;Knit Wrap Top:0.46,1.0
P0029,Draped Evening Top,Women’s Apparel,52.0,19.0,fall/winter,Embellished Knit Top:0.74;Silk-Blend Shell Top:0.7;Faux Leather Mini Skirt:0.44,1.0
P0030,Chino Culotte Pants,Women’s Apparel,49.0,18.0,spring/summer,Stretch Chino Pants:0.76;Slim Fit Trousers:0.48;Paper Touch Shirt:0.41,1.0
P0031,Quilted Shirt Jacket,Women’s Apparel,88.0,36.0,fall/winter,Quilted Vest:0.73;Corduroy Shirt Jacket:0.67;Faux Suede Shacket:0.55,1.0
P0032,Embellished Knit Top,Women’s Apparel,46.0,17.0,all_season,Draped Evening Top:0.75;Silk-Blend Shell Top:0.52;Faux Leather Clutch:0.43,1.0
P0033,Smocked Midi Dress,Women’s Apparel,71.0,28.0,spring/summer,Fluid Midi Wrap Dress:0.77;Tiered Maxi Skirt:0.58;Embroidered Peasant Blouse:0.45,1.0
P0034,Relaxed Linen Blazer,Women’s Apparel,96.0,39.0,spring/summer,Double-Breasted Blazer:0.7;High-Waist Pleated Trousers:0.66;Linen Resort Shirt:0.44,1.0
P0035,Layered Hem Tunic,Women’s Apparel,41.0,15.0,all_season,Slim Straight Ankle Jean:0.47;Stretch Ponte Leggings:0.58;Seamless Camisole:0.42,1.0
P0036,Stretch Denim Jacket,Women’s Apparel,67.0,26.0,spring,Cropped Denim Jacket:0.9;Relaxed Denim Jean:0.62;Wide-Leg Crop Jean:0.55,1.0
P0037,Ruffle Shoulder Blouse,Women’s Apparel,43.0,16.0,spring/summer,Embroidered Peasant Blouse:0.72;Tie-Front Poplin Blouse:0.54;Tiered Maxi Skirt:0.46,1.0
P0038,Cable Knit Pullover,Women’s Apparel,74.0,29.0,fall/winter,Colorblock Sweater:0.74;Merino Crew Sweater:0.63;Soft Touch Cardigan:0.56,1.0
P0039,Straight-Leg Knit Pant,Women’s Apparel,58.0,21.0,all_season,Relaxed Lounge Jogger:0.48;Slim Knit Jogger:0.44;Merino Turtleneck Sweater:0.4,1.0
P0040,Mesh Long Sleeve Top,Women’s Apparel,31.0,10.0,spring/summer,Fitted Mock Neck Top:0.59;Draped Evening Top:0.55;Faux Leather Mini Skirt:0.49,1.0
